Time[s],DEV1_db::CSDO_001::CCS,DEV1_db::HBGuard_001::Toggle,DEV1_db::HBGuard_001::State,DEV1_db::HBGuard_008::Toggle,DEV1_db::HBGuard_008::State,DEV1_db::N8_TPDO0::Temp_2,DEV1_db::N8_TPDO0::Temp_1,DEV1_db::N8_TPDO1::Temp_4,DEV1_db::N8_TPDO1::Temp_3,DEV1_db::N8_TPDO3::Voltage_Sensor_4,DEV1_db::N8_TPDO3::Voltage_Sensor_3,DEV1_db::NMTZeroMsg::Node_ID,DEV1_db::NMTZeroMsg::CS,DEV1_db::SSDO_001::SCS
48.148300,,,,,,,,,,,,,,3
48.148550,1,,,,,,,,,,,,,
48.148750,,,,,,,,,,,,,,3
48.149000,1,,,,,,,,,,,,,
48.149250,,,,,,,,,,,,,,3
48.149500,1,,,,,,,,,,,,,
48.149750,,,,,,,,,,,,,,3
48.150000,1,,,,,,,,,,,,,
48.150300,,,,,,,,,,,,,,3
48.150650,1,,,,,,,,,,,,,
48.150950,,,,,,,,,,,,,,3
48.151250,1,,,,,,,,,,,,,
48.151600,,,,,,,,,,,,,,3
48.151900,1,,,,,,,,,,,,,
48.152200,,,,,,,,,,,,,,3
48.152450,1,,,,,,,,,,,,,
48.152700,,,,,,,,,,,,,,3
48.152900,1,,,,,,,,,,,,,
48.153200,,,,,,,,,,,,,,3
48.153450,1,,,,,,,,,,,,,
48.153700,,,,,,,,,,,,,,3
48.153950,1,,,,,,,,,,,,,
48.154250,,,,,,,,,,,,,,3
48.154500,1,,,,,,,,,,,,,
48.154750,,,,,,,,,,,,,,3
48.154900,,,,,,,,,,,,0,128,
48.155150,1,,,,,,,,,,,,,
48.155400,,,,,,,,,,,,,,3
48.155650,1,,,,,,,,,,,,,
48.155900,,,,,,,,,,,,,,3
48.156150,1,,,,,,,,,,,,,
48.156400,,,,,,,,,,,,,,3
48.156650,1,,,,,,,,,,,,,
48.156900,,,,,,,,,,,,,,3
48.157250,1,,,,,,,,,,,,,
48.157500,,,,,,,,,,,,,,3
48.157750,1,,,,,,,,,,,,,
48.158050,,,,,,,,,,,,,,3
48.158850,1,,,,,,,,,,,,,
48.159150,,,,,,,,,,,,,,3
48.159350,1,,,,,,,,,,,,,
48.159600,,,,,,,,,,,,,,3
48.159850,1,,,,,,,,,,,,,
48.160100,,,,,,,,,,,,,,3
48.160350,1,,,,,,,,,,,,,
48.160700,,,,,,,,,,,,,,3
48.160900,1,,,,,,,,,,,,,
48.161150,,,,,,,,,,,,,,3
48.161400,1,,,,,,,,,,,,,
48.161650,,,,,,,,,,,,,,3
48.161900,1,,,,,,,,,,,,,
48.162150,,,,,,,,,,,,,,3
48.162400,1,,,,,,,,,,,,,
48.162650,,,,,,,,,,,,,,3
48.162850,1,,,,,,,,,,,,,
48.163100,,,,,,,,,,,,,,3
48.163350,1,,,,,,,,,,,,,
48.163550,,,,,,,,,,,,,,3
48.163800,1,,,,,,,,,,,,,
48.164050,,,,,,,,,,,,,,3
48.164300,1,,,,,,,,,,,,,
48.164550,,,,,,,,,,,,,,3
48.164800,1,,,,,,,,,,,,,
48.165050,,,,,,,,,,,,,,3
48.165300,1,,,,,,,,,,,,,
48.165550,,,,,,,,,,,,,,3
48.165750,1,,,,,,,,,,,,,
48.166050,,,,,,,,,,,,,,3
48.166300,1,,,,,,,,,,,,,
48.166550,,,,,,,,,,,,,,3
48.166800,1,,,,,,,,,,,,,
48.167100,,,,,,,,,,,,,,3
48.167350,1,,,,,,,,,,,,,
48.167650,,,,,,,,,,,,,,3
48.167900,1,,,,,,,,,,,,,
48.168150,,,,,,,,,,,,,,3
48.168450,1,,,,,,,,,,,,,
48.168700,,,,,,,,,,,,,,3
48.169000,1,,,,,,,,,,,,,
48.169250,,,,,,,,,,,,,,3
48.169500,1,,,,,,,,,,,,,
48.169750,,,,,,,,,,,,,,3
48.170050,1,,,,,,,,,,,,,
48.170300,,,,,,,,,,,,,,3
48.171150,1,,,,,,,,,,,,,
48.171450,,,,,,,,,,,,,,3
48.171700,1,,,,,,,,,,,,,
48.171950,,,,,,,,,,,,,,3
48.172150,1,,,,,,,,,,,,,
48.172400,,,,,,,,,,,,,,3
48.172650,1,,,,,,,,,,,,,
48.172900,,,,,,,,,,,,,,3
48.173150,1,,,,,,,,,,,,,
48.173350,,,,,,,,,,,,,,3
48.173600,1,,,,,,,,,,,,,
48.173850,,,,,,,,,,,,,,3
48.174100,1,,,,,,,,,,,,,
48.174450,,,,,,,,,,,,,,3
48.174700,1,,,,,,,,,,,,,
48.174950,,,,,,,,,,,,,,3
48.175150,1,,,,,,,,,,,,,
48.175400,,,,,,,,,,,,,,3
48.175650,1,,,,,,,,,,,,,
48.175900,,,,,,,,,,,,,,3
48.176200,1,,,,,,,,,,,,,
48.176550,,,,,,,,,,,,,,3
48.176800,1,,,,,,,,,,,,,
48.177050,,,,,,,,,,,,,,3
48.177300,1,,,,,,,,,,,,,
48.177600,,,,,,,,,,,,,,3
48.177850,1,,,,,,,,,,,,,
48.178100,,,,,,,,,,,,,,3
48.178350,1,,,,,,,,,,,,,
48.178600,,,,,,,,,,,,,,3
48.178850,1,,,,,,,,,,,,,
48.179200,,,,,,,,,,,,,,3
48.179450,1,,,,,,,,,,,,,
48.179700,,,,,,,,,,,,,,3
48.180000,1,,,,,,,,,,,,,
48.180250,,,,,,,,,,,,,,3
48.180550,1,,,,,,,,,,,,,
48.180800,,,,,,,,,,,,,,3
48.181050,1,,,,,,,,,,,,,
48.181300,,,,,,,,,,,,,,3
48.181550,1,,,,,,,,,,,,,
48.181800,,,,,,,,,,,,,,3
48.182050,1,,,,,,,,,,,,,
48.182300,,,,,,,,,,,,,,3
48.182550,1,,,,,,,,,,,,,
48.182750,,,,,,,,,,,,,,3
48.183000,1,,,,,,,,,,,,,
48.183250,,,,,,,,,,,,,,3
48.183500,1,,,,,,,,,,,,,
48.183750,,,,,,,,,,,,,,3
48.184000,1,,,,,,,,,,,,,
48.184250,,,,,,,,,,,,,,3
48.184500,1,,,,,,,,,,,,,
48.184700,,,,,,,,,,,,,,3
48.184950,1,,,,,,,,,,,,,
48.185200,,,,,,,,,,,,,,3
48.185450,1,,,,,,,,,,,,,
48.185700,,,,,,,,,,,,,,3
48.185950,1,,,,,,,,,,,,,
48.186200,,,,,,,,,,,,,,3
48.186450,1,,,,,,,,,,,,,
48.186700,,,,,,,,,,,,,,3
48.186900,1,,,,,,,,,,,,,
48.187150,,,,,,,,,,,,,,3
48.187400,1,,,,,,,,,,,,,
48.187650,,,,,,,,,,,,,,3
48.187900,1,,,,,,,,,,,,,
48.188150,,,,,,,,,,,,,,3
48.188400,1,,,,,,,,,,,,,
48.188650,,,,,,,,,,,,,,3
48.188850,1,,,,,,,,,,,,,
48.189100,,,,,,,,,,,,,,3
48.189350,1,,,,,,,,,,,,,
48.189600,,,,,,,,,,,,,,3
49.187550,,,,,,,,,,,,0,1,
49.187750,2,,,,,,,,,,,,,
49.257100,,,,,,,,,,,,,,2
49.257450,2,,,,,,,,,,,,,
49.257700,,,,,,,,,,,,,,2
49.311350,,,,,,4294959922,4294959922,,,,,,,
49.706000,,,,,,,,23017,6602,,,,,
49.836950,,0,5,,,,,,,,,,,
50.495650,,,,,,,,,,113,119,,,
51.284550,,,,0,5,,,,,,,,,
52.087850,,0,5,,,,,,,,,,,
53.257100,,,,,,6602,6993,,,,,,,
53.257500,,,,,,6602,6993,,,,,,,
53.652350,,,,,,,,6993,6407,,,,,
53.652700,,,,,,,,6993,6407,,,,,
54.338950,,0,5,,,,,,,,,,,
54.442800,,,,,,,,,,120,120,,,
